ZONEID,TIMESTAMP,POWER
1,20120401 01:00,0.754102564102564
1,20120401 02:00,0.555
1,20120401 03:00,0.438397435897436
1,20120401 04:00,0.145448717948718
1,20120401 05:00,0.111987179487179
1,20120401 06:00,0.0572435897435897
1,20120401 07:00,0.0887179487179487
1,20120401 08:00,0.0300641025641026
1,20120401 09:00,0.000128205128205128
1,20120401 10:00,0
1,20120401 11:00,0
1,20120401 12:00,0
1,20120401 13:00,0
1,20120401 14:00,0
1,20120401 15:00,0
1,20120401 16:00,0
1,20120401 17:00,0
1,20120401 18:00,0
1,20120401 19:00,0
1,20120401 20:00,0
1,20120401 21:00,0.00634615384615385
1,20120401 22:00,0.0715384615384615
1,20120401 23:00,0.229166666666667
1,20120402 00:00,0.346474358974359
1,20120402 01:00,0.656858974358974
1,20120402 02:00,0.771410256410257
1,20120402 03:00,0.613782051282051
1,20120402 04:00,0.554807692307692
1,20120402 05:00,0.458910256410256
1,20120402 06:00,0.198269230769231
1,20120402 07:00,0.0850641025641026
1,20120402 08:00,0.011474358974359
1,20120402 09:00,0.000128205128205128
1,20120402 10:00,0
1,20120402 11:00,0
1,20120402 12:00,0
1,20120402 13:00,0
1,20120402 14:00,0
1,20120402 15:00,0
1,20120402 16:00,0
1,20120402 17:00,0
1,20120402 18:00,0
1,20120402 19:00,0
1,20120402 20:00,0
1,20120402 21:00,0.015
1,20120402 22:00,0.0862820512820513
1,20120402 23:00,0.31525641025641
1,20120403 00:00,0.514551282051282
1,20120403 01:00,0.734615384615385
1,20120403 02:00,0.67525641025641
1,20120403 03:00,0.618910256410256
1,20120403 04:00,0.514166666666667
1,20120403 05:00,0.436474358974359
1,20120403 06:00,0.248397435897436
1,20120403 07:00,0.0720512820512821
1,20120403 08:00,0.0126282051282051
1,20120403 09:00,0.000128205128205128
1,20120403 10:00,0
1,20120403 11:00,0
1,20120403 12:00,0
1,20120403 13:00,0
1,20120403 14:00,0
1,20120403 15:00,0
1,20120403 16:00,0
1,20120403 17:00,0
1,20120403 18:00,0
1,20120403 19:00,0
1,20120403 20:00,0
1,20120403 21:00,0.0167307692307692
1,20120403 22:00,0.213653846153846
1,20120403 23:00,0.565384615384615
1,20120404 00:00,0.708782051282051
1,20120404 01:00,0.754102564102564
1,20120404 02:00,0.745897435897436
1,20120404 03:00,0.68275641025641
1,20120404 04:00,0.521025641025641
1,20120404 05:00,0.338461538461538
1,20120404 06:00,0.209935897435897
1,20120404 07:00,0.0485897435897436
1,20120404 08:00,0.0144230769230769
1,20120404 09:00,6.41025641025641e-05
1,20120404 10:00,0
1,20120404 11:00,0
1,20120404 12:00,0
1,20120404 13:00,0
1,20120404 14:00,0
1,20120404 15:00,0
1,20120404 16:00,0
1,20120404 17:00,0
1,20120404 18:00,0
1,20120404 19:00,0
1,20120404 20:00,0
1,20120404 21:00,0.00134615384615385
1,20120404 22:00,0.0183974358974359
