ZONEID,TIMESTAMP,VAR78,VAR79,VAR134,VAR157,VAR164,VAR165,VAR166,VAR167,VAR169,VAR175,VAR178,VAR228
1,20120401 01:00,0.001966857817,0.003608703613,94843.625,60.22190857,0.2446011305,1.039334297,-2.50303936,294.4484863,2577830,1202532,2861797,0
1,20120401 02:00,0.005524490029,0.03357481211,94757.9375,54.67860413,0.4571376443,2.482865334,-2.993330002,295.6513672,5356093,2446757,5949378,0
1,20120401 03:00,0.03011322021,0.132008791,94732.8125,61.29489136,0.7714294195,3.339866638,-1.982535362,294.4545898,7921788,3681336,8939176,0.001340866089
1,20120401 04:00,0.05716705322,0.1106452942,94704.0625,67.77528381,0.9658662081,3.10610199,-1.446050644,293.2614746,9860520,4921504,11331679,0.002501487732
1,20120401 05:00,0.05102655664,0.1895599365,94675,70.17298889,0.9446686506,2.601145744,-1.904493332,292.7329102,11143097,6254380,13105558,0.003331184387
1,20120401 06:00,0.03699596226,0.0990447998,94676.9375,72.3740387,0.6413533688,1.333368301,-1.728430748,292.0771484,11815767,7558415,14198503,0.003960132599
1,20120401 07:00,0.08091121912,0.1213226318,94708.0625,81.79873657,0.7531423569,1.457922935,-1.034620285,291.0693359,12274591,8798617,14925342,0.004969596863
1,20120401 08:00,0.03615882993,0.1390686035,94748.8125,87.85406494,0.7883383632,2.374826431,-1.089039803,289.0734863,12351290,10041167,15112951,0.00647687912
1,20120401 09:00,0.03637222946,0.07260894775,94785.8125,88.79348755,0.5022745728,1.985530853,-0.9630098343,288.03125,12351290,11257316,15112951,0.006724834442
1,20120401 10:00,0.01435293257,0.03579711914,94817.75,90.45066833,0.5019183159,1.999518394,-0.9303197861,287.4057617,12351290,12460132,15112951,0.006744861603
1,20120401 11:00,0.005387470126,0.004501342773,94847.375,90.67617798,0.1567742825,1.809739113,-0.09817695618,286.3208008,12351290,13599879,15112567,0.006749629974
1,20120401 12:00,0.0008697509766,0,94852.0625,92.9289093,0.01434326172,1.35490799,-0.9222555161,285.0354004,12351290,14724565,15112567,0.006749629974
1,20120401 13:00,0,0,94810.625,94.98951721,0.004364013672,1.256863594,-1.156412125,284.7331543,12351290,15820126,15112567,0.006749629974
1,20120401 14:00,0,0,94758.125,94.81033325,0,0.9210338593,-0.8040390015,284.4626465,12351290,16911888,15112567,0.006749629974
1,20120401 15:00,0.001480102539,0,94730.375,95.55996704,0.0397644043,0.6224298477,0.318148613,284.1330566,12351290,17989312,15112567,0.006749629974
1,20120401 16:00,0.005981445312,0,94721.5625,99.39195251,0.3865966797,-0.4045000076,1.343285561,282.8701172,12351290,19080544,15112567,0.006750106812
1,20120401 17:00,0.02029418945,0,94707.75,99.67973328,0.9373168945,-0.4936485291,1.279654503,282.885498,12351290,20227568,15112567,0.006750106812
1,20120401 18:00,0.04361724854,0,94699.6875,100.2070923,0.970123291,-0.2984542847,1.2048769,283.1572266,12351290,21420224,15112567,0.00675535202
1,20120401 19:00,0.04778289795,0,94733.3125,99.53146362,0.8930053711,-0.1277742386,1.207766533,283.314209,12351290,22618864,15112567,0.006762981415
1,20120401 20:00,0.0436630249,0,94749.8125,99.42308044,0.8915710449,-0.2310934067,1.276310921,283.1843262,12351290,23790336,15112567,0.006771564484
1,20120401 21:00,0.04499053955,0,94769,98.57301331,0.6236877441,-0.0554189682,1.24878788,283.6530762,12417521,24904848,15240341,0.006778717041
1,20120401 22:00,0.03886032104,0,94787.9375,92.12310791,0.8327941895,-0.8517446518,0.9724979401,286.2585449,12947510,26133136,15980090,0.006783485413
1,20120401 23:00,0.0350189209,0,94775.25,82.74525452,0.9532928467,-1.10296154,0.3103113174,288.4182129,13965544,27398656,17317616,0.00679063797
1,20120402 00:00,0.07444000244,0,94736.125,71.751297,0.9324645996,-0.1930522919,-0.4475736618,290.267334,15464841,28768880,19196208,0.00680065155
2,20120401 01:00,0.001478576567,0.005443572998,94290.625,57.37425232,0.1909664869,0.8579378128,-2.801623344,294.3933105,2595302,1192092,2884677,0
2,20120401 02:00,0.01830372587,0.1015526652,94217.6875,57.129776,0.5171352029,2.594071388,-2.653242111,294.9624023,5374973,2420485,5984578,0
2,20120401 03:00,0.03525543213,0.1129353046,94201.0625,63.07614136,0.7052215338,2.881370544,-1.647818565,293.876709,7858492,3643656,8929064,0.001256346703
2,20120401 04:00,0.06451416016,0.1077613831,94156.0625,62.97547913,0.993362546,3.024803162,-1.496831894,293.0712891,9719720,4885120,11258463,0.001725673676
2,20120401 05:00,0.05949518457,0.1575927734,94124.25,65.05384827,0.9376038313,2.521555901,-1.836622238,292.5444336,11054009,6211372,13079318,0.002093076706
2,20120401 06:00,0.04900462925,0.09763336182,94132.4375,69.30958557,0.7241170406,1.072137833,-1.826086998,291.8586426,11728855,7502223,14179175,0.002279043198
2,20120401 07:00,0.03878174722,0.1237487793,94162.8125,78.61904907,0.6015462875,1.473792076,-1.286085129,290.7595215,12161695,8742745,14882846,0.002907752991
2,20120401 08:00,0.02360084653,0.07825469971,94180.3125,85.456604,0.6718680263,1.742136002,-1.630421638,288.8383789,12242234,9966479,15069943,0.002963542938
2,20120401 09:00,0.035899207,0.04842376709,94236.5625,89.03372192,0.4987803102,1.474666595,-1.038693428,287.262207,12242234,11131812,15069943,0.002991676331
2,20120401 10:00,0.02115835249,0.01964569092,94268.25,90.8657074,0.4373888969,1.116461754,-0.8020238876,286.6308594,12242234,12309732,15069943,0.003005981445
2,20120401 11:00,0.01570241153,0.003112792969,94302.125,91.77285767,0.1709344387,1.131028175,-0.3983478546,286.1867676,12242234,13426247,15070071,0.003009319305
2,20120401 12:00,0.0007171630859,0,94289.0625,95.56611633,0.01760864258,1.114429474,-0.9718160629,284.5163574,12242234,14539733,15070071,0.003009319305
2,20120401 13:00,0.0004653930664,0,94256.875,97.12770081,0.2151489258,1.286160469,-0.8457431793,283.963623,12242234,15622494,15070071,0.003009319305
2,20120401 14:00,0.0009765625,0,94212.875,97.25369263,0.2121276855,0.3314342499,-0.01522064209,284.0021973,12242234,16683805,15070071,0.003009319305
